name,"identifier","num_data_bytes","data","crc","ack","remote_frame"
"CAN",0x0000000000000017,,,,
"CAN",,0x0000000000000008,,,
"CAN",,,0xFF,,
"CAN",,,0xFF,,
"CAN",,,0xFF,,
"CAN",,,0xFF,,
"CAN",,,0xFF,,
"CAN",,,0xFF,,
"CAN",,,0xFF,,
"CAN",,,0xFC,,
"CAN",,,,0x0000000000003CCB,
"CAN",,,,,true
"CAN",0x0000000000000017,,,,
"CAN",,0x0000000000000008,,,
"CAN",,,0xFF,,
"CAN",,,0xFF,,
"CAN",,,0xFF,,
"CAN",,,0xFF,,
"CAN",,,0xFF,,
"CAN",,,0xFF,,
"CAN",,,0xFF,,
"CAN",,,0xFC,,
"CAN",,,,0x0000000000003CCB,
"CAN",,,,,true
"CAN",0x0000000000000017,,,,
"CAN",,,,,
"CAN",0x0000000000000017,,,,
"CAN",,0x0000000000000008,,,
"CAN",,,0x17,,
"CAN",,,0x3A,,
"CAN",,,0x42,,
"CAN",,,0x7F,,
"CAN",,,0xF8,,
"CAN",,,0x24,,
"CAN",,,0x42,,
"CAN",,,0x00,,
"CAN",,,,0x0000000000006DAC,
"CAN",,,,,true
"CAN",0x0000000000000017,,,,
"CAN",,0x0000000000000008,,,
"CAN",,,0x17,,
"CAN",,,0x3A,,
"CAN",,,0x42,,
"CAN",,,0x7F,,
"CAN",,,0xF7,,
"CAN",,,0xFF,,
"CAN",,,0x42,,
"CAN",,,0x00,,
"CAN",,,,0x0000000000006A04,
"CAN",,,,,true
"CAN",0x0000000000000017,,,,
"CAN",,0x0000000000000008,,,
"CAN",,,0x7F,,
"CAN",,,0xFF,,
"CAN",,,0x87,,
"CAN",,,0xF0,,
"CAN",,,0x00,,
"CAN",,,0x3D,,
"CAN",,,0x68,,
"CAN",,,0x4A,,
"CAN",,,,0x000000000000001F,
"CAN",,,,,true
"CAN",0x0000000000000017,,,,
"CAN",,0x0000000000000008,,,
"CAN",,,0x17,,
"CAN",,,0x3A,,
"CAN",,,0x44,,
"CAN",,,0x81,,
"CAN",,,0xC8,,
"CAN",,,0x47,,
"CAN",,,0x42,,
"CAN",,,0x00,,
"CAN",,,,0x0000000000001CEC,
"CAN",,,,,true
"CAN",0x0000000000000017,,,,
"CAN",,0x0000000000000008,,,
"CAN",,,0x7F,,
"CAN",,,0xFF,,
"CAN",,,0x87,,
"CAN",,,0xF0,,
"CAN",,,0x00,,
"CAN",,,0x3D,,
"CAN",,,0x68,,
"CAN",,,0x4A,,
"CAN",,,,0x000000000000001F,
"CAN",,,,,true
"CAN",0x0000000000000017,,,,
"CAN",,0x0000000000000008,,,
"CAN",,,0x17,,
"CAN",,,0x3A,,
"CAN",,,0x4D,,
"CAN",,,0x84,,
"CAN",,,0x88,,
"CAN",,,0x49,,
"CAN",,,0x42,,
"CAN",,,0x00,,
"CAN",,,,0x0000000000006137,
"CAN",,,,,true
"CAN",0x0000000000000017,,,,
"CAN",,0x0000000000000008,,,
"CAN",,,0x7F,,
"CAN",,,0xFF,,
"CAN",,,0x87,,
"CAN",,,0xF0,,
"CAN",,,0x00,,
"CAN",,,0x3D,,
"CAN",,,0x68,,
"CAN",,,0x4A,,
"CAN",,,,0x000000000000001F,
"CAN",,,,,true
